Escenario,Falla,Generador,barra,tipo,Cvar,Pmin,Pmax,Pmax_eff,PG_0,RES_UP,PG_S,DPG
m2-d19-h18,multiple Wind zona viii region,CenValdivia-Ciruelos_Diesel,Valdivia-Ciruelos,diesel,163.7158888,0,114.3,114.3,0.0,0.0,0.0,0.0
m2-d19-h18,multiple PV zona sur centro sing,CenValdivia-Ciruelos_Diesel,Valdivia-Ciruelos,diesel,163.7158888,0,114.3,114.3,0.0,0.0,0.0,0.0
m2-d19-h18,multiple PV zona centro,CenValdivia-Ciruelos_Diesel,Valdivia-Ciruelos,diesel,163.7158888,0,114.3,114.3,0.0,0.0,0.0,0.0
m2-d19-h18,multiple PV zona norte sing,CenValdivia-Ciruelos_Diesel,Valdivia-Ciruelos,diesel,163.7158888,0,114.3,114.3,0.0,0.0,0.0,0.0
m2-d19-h18,multiple Wind zona iv region,CenValdivia-Ciruelos_Diesel,Valdivia-Ciruelos,diesel,163.7158888,0,114.3,114.3,0.0,0.0,0.0,0.0
m2-d19-h18,multiple PV zona norte chico,CERRO PABELLON,Crucero-Encuentro,geothermal,2,24,48,48,48.0,0.0,48.0,0.0
m2-d19-h18,multiple PV zona norte del sic,CERRO PABELLON,Crucero-Encuentro,geothermal,2,24,48,48,48.0,0.0,48.0,0.0
m2-d19-h18,multiple Wind zona norte sic,CERRO PABELLON,Crucero-Encuentro,geothermal,2,24,48,48,48.0,0.0,48.0,0.0
m2-d19-h18,multiple Wind zona sing centro,CERRO PABELLON,Crucero-Encuentro,geothermal,2,24,48,48,48.0,0.0,48.0,0.0
m2-d19-h18,multiple Wind zona sur,CERRO PABELLON,Crucero-Encuentro,geothermal,2,24,48,48,48.0,0.0,48.0,0.0
m2-d19-h18,multiple Wind zona viii region,CERRO PABELLON,Crucero-Encuentro,geothermal,2,24,48,48,48.0,0.0,48.0,0.0
m2-d19-h18,multiple PV zona sur centro sing,CERRO PABELLON,Crucero-Encuentro,geothermal,2,24,48,48,48.0,0.0,48.0,0.0
m2-d19-h18,multiple PV zona centro,CERRO PABELLON,Crucero-Encuentro,geothermal,2,24,48,48,48.0,0.0,48.0,0.0
m2-d19-h18,multiple PV zona norte sing,CERRO PABELLON,Crucero-Encuentro,geothermal,2,24,48,48,48.0,0.0,48.0,0.0
m2-d19-h18,multiple Wind zona iv region,CERRO PABELLON,Crucero-Encuentro,geothermal,2,24,48,48,48.0,0.0,48.0,0.0
m2-d19-h18,multiple PV zona norte chico,Proy_Wind_Charrua_80,Charrua,Eolico,7,0,419,419,0.0,0.0,0.0,0.0
m2-d19-h18,multiple PV zona norte del sic,Proy_Wind_Charrua_80,Charrua,Eolico,7,0,419,419,0.0,0.0,0.0,0.0
m2-d19-h18,multiple Wind zona norte sic,Proy_Wind_Charrua_80,Charrua,Eolico,7,0,419,419,0.0,0.0,0.0,0.0
m2-d19-h18,multiple Wind zona sing centro,Proy_Wind_Charrua_80,Charrua,Eolico,7,0,419,419,0.0,0.0,0.0,0.0
m2-d19-h18,multiple Wind zona sur,Proy_Wind_Charrua_80,Charrua,Eolico,7,0,419,419,0.0,0.0,0.0,0.0
m2-d19-h18,multiple Wind zona viii region,Proy_Wind_Charrua_80,Charrua,Eolico,7,0,419,419,0.0,0.0,0.0,0.0
m2-d19-h18,multiple PV zona sur centro sing,Proy_Wind_Charrua_80,Charrua,Eolico,7,0,419,419,0.0,0.0,0.0,0.0
m2-d19-h18,multiple PV zona centro,Proy_Wind_Charrua_80,Charrua,Eolico,7,0,419,419,0.0,0.0,0.0,0.0
m2-d19-h18,multiple PV zona norte sing,Proy_Wind_Charrua_80,Charrua,Eolico,7,0,419,419,0.0,0.0,0.0,0.0
m2-d19-h18,multiple Wind zona iv region,Proy_Wind_Charrua_80,Charrua,Eolico,7,0,419,419,0.0,0.0,0.0,0.0
m2-d19-h18,multiple PV zona norte chico,Pasada_Charrua,Charrua,Pasada,0,0,189.3,38.0000000331,38.0,0.0,38.0,0.0
m2-d19-h18,multiple PV zona norte del sic,Pasada_Charrua,Charrua,Pasada,0,0,189.3,38.0000000331,38.0,0.0,38.0,0.0
m2-d19-h18,multiple Wind zona norte sic,Pasada_Charrua,Charrua,Pasada,0,0,189.3,38.0000000331,38.0,0.0,38.0,0.0
m2-d19-h18,multiple Wind zona sing centro,Pasada_Charrua,Charrua,Pasada,0,0,189.3,38.0000000331,38.0,0.0,38.0,0.0
m2-d19-h18,multiple Wind zona sur,Pasada_Charrua,Charrua,Pasada,0,0,189.3,38.0000000331,38.0,0.0,38.0,0.0
m2-d19-h18,multiple Wind zona viii region,Pasada_Charrua,Charrua,Pasada,0,0,189.3,38.0000000331,38.0,0.0,38.0,0.0
m2-d19-h18,multiple PV zona sur centro sing,Pasada_Charrua,Charrua,Pasada,0,0,189.3,38.0000000331,38.0,0.0,38.0,0.0
m2-d19-h18,multiple PV zona centro,Pasada_Charrua,Charrua,Pasada,0,0,189.3,38.0000000331,38.0,0.0,38.0,0.0
m2-d19-h18,multiple PV zona norte sing,Pasada_Charrua,Charrua,Pasada,0,0,189.3,38.0000000331,38.0,0.0,38.0,0.0
m2-d19-h18,multiple Wind zona iv region,Pasada_Charrua,Charrua,Pasada,0,0,189.3,38.0000000331,38.0,0.0,38.0,0.0
m2-d19-h18,multiple PV zona norte chico,Isla,Itahue,Serie,0,0,69,52.700000004,52.7,0.0,52.7,0.0
m2-d19-h18,multiple PV zona norte del sic,Isla,Itahue,Serie,0,0,69,52.700000004,52.7,0.0,52.7,0.0
m2-d19-h18,multiple Wind zona norte sic,Isla,Itahue,Serie,0,0,69,52.700000004,52.7,0.0,52.7,0.0
m2-d19-h18,multiple Wind zona sing centro,Isla,Itahue,Serie,0,0,69,52.700000004,52.7,0.0,52.7,0.0
m2-d19-h18,multiple Wind zona sur,Isla,Itahue,Serie,0,0,69,52.700000004,52.7,0.0,52.7,0.0
m2-d19-h18,multiple Wind zona viii region,Isla,Itahue,Serie,0,0,69,52.700000004,52.7,0.0,52.7,0.0
m2-d19-h18,multiple PV zona sur centro sing,Isla,Itahue,Serie,0,0,69,52.700000004,52.7,0.0,52.7,0.0
m2-d19-h18,multiple PV zona centro,Isla,Itahue,Serie,0,0,69,52.700000004,52.7,0.0,52.7,0.0
m2-d19-h18,multiple PV zona norte sing,Isla,Itahue,Serie,0,0,69,52.700000004,52.7,0.0,52.7,0.0
m2-d19-h18,multiple Wind zona iv region,Isla,Itahue,Serie,0,0,69,52.700000004,52.7,0.0,52.7,0.0
m2-d19-h18,multiple PV zona norte chico,Santa_Maria,Charrua,coal,35.0006133,221.8,320.9,320.9,320.9,0.0,320.9,0.0
